	region1	region2	chrom1	start1	end1	chrom2	start2	end2	contact_pair	dist_from_diag	pixel_size	gene1	gene2
0	('chr5', 2725000, 2790000)	('chr5', 171280000, 171340000)	chr5	2725000	2790000	chr5	171280000	171340000	(('chr5', 2725000, 2790000), ('chr5', 171280000, 171340000))	168552500.0	3900000000	IRX2	TLX3,AC091980.2
1	('chr6', 104920000, 104960000)	('chr6', 133830000, 133900000)	chr6	104920000	104960000	chr6	133830000	133900000	(('chr6', 104920000, 104960000), ('chr6', 133830000, 133900000))	28925000.0	2800000000	LIN28B,LIN28B-AS1	TARID,LINC01312,TCF21
2	('chr11', 44290000, 44340000)	('chr11', 129340000, 129380000)	chr11	44290000	44340000	chr11	129340000	129380000	(('chr11', 44290000, 44340000), ('chr11', 129340000, 129380000))	85045000.0	2000000000	ALX4	BARX2
3	('chr2', 118218000, 118228000)	('chr2', 170810000, 170820000)	chr2	118218000	118228000	chr2	170810000	170820000	(('chr2', 118218000, 118228000), ('chr2', 170810000, 170820000))	52592000.0	100000000	THORLNC	GAD1,AC007405.2
4	('chr4', 80185000, 80220000)	('chr4', 146615000, 146665000)	chr4	80185000	80220000	chr4	146615000	146665000	(('chr4', 80185000, 80220000), ('chr4', 146615000, 146665000))	66437500.0	1750000000	PRDM8	POU4F2
5	('chr6', 106070000, 106102000)	('chr6', 125730000, 125740000)	chr6	106070000	106102000	chr6	125730000	125740000	(('chr6', 106070000, 106102000), ('chr6', 125730000, 125740000))	19649000.0	320000000	PRDM1	HEY2, AL365259.1
6	('chr2', 161410000, 161430000)	('chr2', 173350000, 173360000)	chr2	161410000	161430000	chr2	173350000	173360000	(('chr2', 161410000, 161430000), ('chr2', 173350000, 173360000))	11935000.0	200000000	TBR1	CDCA7
7	('chr1', 200030000, 200040000)	('chr1', 213980000, 213990000)	chr1	200030000	200040000	chr1	213980000	213990000	(('chr1', 200030000, 200040000), ('chr1', 213980000, 213990000))	13950000.0	100000000	NR5A2,RNU6-570P	PROX1,AC011700.1
8	('chr18', 900000, 915000)	('chr18', 47230000, 47270000)	chr18	900000	915000	chr18	47230000	47270000	(('chr18', 900000, 915000), ('chr18', 47230000, 47270000))	46342500.0	600000000	ADCYAP1,AP000894.2	SKOR2
9	('chr2', 199450000, 199480000)	('chr2', 236260000, 236270000)	chr2	199450000	199480000	chr2	236260000	236270000	(('chr2', 199450000, 199480000), ('chr2', 236260000, 236270000))	36800000.0	300000000	SATB2,SATB2-AS1	ASB18
10	('chr1', 18630000, 18640000)	('chr1', 47710000, 47720000)	chr1	18630000	18640000	chr1	47710000	47720000	(('chr1', 18630000, 18640000), ('chr1', 47710000, 47720000))	29080000.0	100000000	PAX7	-
11	('chr12', 65810000, 65820000)	('chr12', 114660000, 114710000)	chr12	65810000	65820000	chr12	114660000	114710000	(('chr12', 65810000, 65820000), ('chr12', 114660000, 114710000))	48870000.0	500000000	HMGA2,RPSAP52	TBX3
13	('chr5', 3560000, 3610000)	('chr5', 51360000, 51410000)	chr5	3560000	3610000	chr5	51360000	51410000	(('chr5', 3560000, 3610000), ('chr5', 51360000, 51410000))	47800000.0	2500000000	IRX1	ISL1,AC010478.1
14	('chr1', 47430000, 47440000)	('chr1', 92460000, 92500000)	chr1	47430000	47440000	chr1	92460000	92500000	(('chr1', 47430000, 47440000), ('chr1', 92460000, 92500000))	45045000.0	400000000	FOXD2,FOXD2-AS1	GFI1
15	('chr1', 180230000, 180240000)	('chr1', 200030000, 200040000)	chr1	180230000	180240000	chr1	200030000	200040000	(('chr1', 180230000, 180240000), ('chr1', 200030000, 200040000))	19800000.0	100000000	LHX4	NR5A2,RNU6-570P
16	('chr4', 112500000, 112530000)	('chr4', 146615000, 146665000)	chr4	112500000	112530000	chr4	146615000	146665000	(('chr4', 112500000, 112530000), ('chr4', 146615000, 146665000))	34125000.0	1500000000	NEUROG2,AC023886.1	POU4F2
17	('chr5', 3560000, 3610000)	('chr5', 174700000, 174750000)	chr5	3560000	3610000	chr5	174700000	174750000	(('chr5', 3560000, 3610000), ('chr5', 174700000, 174750000))	171140000.0	2500000000	IRX1	MSX2
18	('chr5', 51360000, 51410000)	('chr5', 159060000, 159110000)	chr5	51360000	51410000	chr5	159060000	159110000	(('chr5', 51360000, 51410000), ('chr5', 159060000, 159110000))	107700000.0	2500000000	ISL1,AC010478.1	EBF1,LINC02202
19	('chr2', 199450000, 199480000)	('chr2', 206250000, 206285000)	chr2	199450000	199480000	chr2	206250000	206285000	(('chr2', 199450000, 199480000), ('chr2', 206250000, 206285000))	6802500.0	1050000000	SATB2,SATB2-AS1	ZDBF2,HMGN1P6
20	('chr1', 50415000, 50430000)	('chr1', 165350000, 165360000)	chr1	50415000	50430000	chr1	165350000	165360000	(('chr1', 50415000, 50430000), ('chr1', 165350000, 165360000))	114932500.0	150000000	DMRTA2,AL049637.2	LMX1A
21	('chr3', 128480000, 128490000)	('chr3', 138930000, 138950000)	chr3	128480000	128490000	chr3	138930000	138950000	(('chr3', 128480000, 128490000), ('chr3', 138930000, 138950000))	10455000.0	200000000	GATA2,GATA2-AS1	FOXL2,FOXL2NB
22	('chr9', 93940000, 93970000)	('chr9', 97820000, 97870000)	chr9	93940000	93970000	chr9	97820000	97870000	(('chr9', 93940000, 93970000), ('chr9', 97820000, 97870000))	3890000.0	1500000000	BARX1,BARX1-DT	FOXE1,PTCSC2
23	('chr2', 45000000, 45010000)	('chr2', 176060000, 176170000)	chr2	45000000	45010000	chr2	176060000	176170000	(('chr2', 45000000, 45010000), ('chr2', 176060000, 176170000))	131110000.0	1100000000	SIX2	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
24	('chr6', 1360000, 1410000)	('chr6', 50820000, 50850000)	chr6	1360000	1410000	chr6	50820000	50850000	(('chr6', 1360000, 1410000), ('chr6', 50820000, 50850000))	49450000.0	1500000000	FOXF2	TFAP2B
25	('chr5', 73430000, 73460000)	('chr5', 135020000, 135045000)	chr5	73430000	73460000	chr5	135020000	135045000	(('chr5', 73430000, 73460000), ('chr5', 135020000, 135045000))	61587500.0	750000000	FOXD1,FOXD1-AS1,LINC01385	PITX1,C5orf66,AC008406.3
