,PC1,PC2,PC3,PC4
"(('chr1', 18630000, 18640000), ('chr1', 24930000, 24940000))",0.022434806389701457,-0.007342026540903146,0.002344516438943737,-0.006490678784360298
"(('chr1', 18630000, 18640000), ('chr1', 44410000, 44420000))",0.02619677289343116,0.004029242763185142,0.010153308791089664,0.025709844187379285
"(('chr1', 18630000, 18640000), ('chr1', 46480000, 46490000))",0.008671596351820899,-0.005377072570901844,0.01988831115185064,-0.0005907632527091406
"(('chr1', 18630000, 18640000), ('chr1', 47180000, 47250000))",0.023173715542725886,0.0016825436742094288,0.01628416801434678,0.007751346302286656
"(('chr1', 18630000, 18640000), ('chr1', 47430000, 47440000))",0.03274094066831727,0.0020483857549406645,-0.03319681159654233,0.008275016970655682
"(('chr1', 18630000, 18640000), ('chr1', 47710000, 47720000))",0.024682131493815755,-0.019977166563451467,0.06508392391711923,-0.023170138235427736
"(('chr1', 18630000, 18640000), ('chr1', 50415000, 50430000))",0.04081443872267106,-0.003768064953211838,0.045348891996715227,0.02174534408659369
"(('chr1', 18630000, 18640000), ('chr1', 63320000, 63330000))",0.07083318162593429,0.0027916119465382,-0.04979871594043828,0.006973913750912025
"(('chr1', 18630000, 18640000), ('chr1', 75120000, 75140000))",0.03326078998479715,0.04775042480239603,-0.009582635125785714,-0.018189920408451108
"(('chr1', 18630000, 18640000), ('chr1', 90710000, 90735000))",0.04246891413213406,0.0085248544846582,0.004475994715072254,-0.024183157584389336
"(('chr1', 18630000, 18640000), ('chr1', 90830000, 90840000))",0.07498188894915606,-0.017459365312668902,-0.0614992275857319,-0.0031405896520900305
"(('chr1', 18630000, 18640000), ('chr1', 92460000, 92500000))",0.05878581212765194,-0.0036199139368003896,-0.00287956561838908,0.00013018345546346216
"(('chr1', 18630000, 18640000), ('chr1', 118970000, 119010000))",0.055186499734849494,0.00977201749715038,0.00022380609797301022,-0.002351706920974976
"(('chr1', 18630000, 18640000), ('chr1', 165350000, 165360000))",-0.0012326886868133861,0.06721111238490284,0.016019014666972784,-0.05318248267979639
"(('chr1', 18630000, 18640000), ('chr1', 180230000, 180240000))",0.012937163056183726,0.05287024151849056,-0.00024380296480829158,0.019110780712266053
"(('chr1', 18630000, 18640000), ('chr1', 197910000, 197920000))",0.009988422771232533,0.13588326908092677,0.03723061034492426,0.06271339788508254
