,PC1,PC2,PC3,PC4
"(('chr1', 18630000, 18640000), ('chr1', 24930000, 24940000))",0.03109078000215823,0.002426618846711944,0.006069177003091526,-0.011893936323905377
"(('chr1', 18630000, 18640000), ('chr1', 44410000, 44420000))",0.026096154764802433,0.004444794609692233,0.022510367381680232,0.006289609582666819
"(('chr1', 18630000, 18640000), ('chr1', 46480000, 46490000))",0.027514470916898872,-0.013743787146877125,0.01917887613753286,-0.021016420795614395
"(('chr1', 18630000, 18640000), ('chr1', 47180000, 47250000))",0.022363379888263778,-0.005102172888530522,0.013204700258670436,-0.0013632930935328648
"(('chr1', 18630000, 18640000), ('chr1', 47430000, 47440000))",0.026569205834364125,0.01014477987325149,0.028585306990207136,0.030784205912350513
"(('chr1', 18630000, 18640000), ('chr1', 47710000, 47720000))",0.02187515640566105,-0.004971435646008589,0.009973113476863636,0.004448800674021694
"(('chr1', 18630000, 18640000), ('chr1', 50415000, 50430000))",0.03807202235050385,0.005450935560236425,-0.009341090760944746,0.0011810661003763489
"(('chr1', 18630000, 18640000), ('chr1', 63320000, 63330000))",0.03433415717271039,-0.003450454012991276,0.017482218652722852,0.011071653301700226
"(('chr1', 18630000, 18640000), ('chr1', 75120000, 75140000))",0.04096434734011964,0.027409166172526426,-0.01645305474271658,-0.010601186411415988
"(('chr1', 18630000, 18640000), ('chr1', 90710000, 90735000))",0.03945618581407902,0.010609820735322092,-0.015048243319420854,-0.004630054109504024
"(('chr1', 18630000, 18640000), ('chr1', 90830000, 90840000))",0.02241567877021167,0.00012093451688726023,0.06399845387128011,0.032841914538339616
"(('chr1', 18630000, 18640000), ('chr1', 92460000, 92500000))",0.03667972916199034,-0.017954023500463944,0.026132956304372783,-0.016689221453893063
"(('chr1', 18630000, 18640000), ('chr1', 118970000, 119010000))",0.03972643087415872,-0.0008625346654627206,-0.009204524404470121,9.928444617340071e-05
"(('chr1', 18630000, 18640000), ('chr1', 165350000, 165360000))",0.04504850826807587,-0.009508491910323654,-0.07533577821368914,-0.09499897757285843
"(('chr1', 18630000, 18640000), ('chr1', 180230000, 180240000))",0.024079909140880224,0.014618634090484302,0.029664394112528674,-0.03335779014350066
"(('chr1', 18630000, 18640000), ('chr1', 197910000, 197920000))",0.05324601808599942,-3.366857550739356e-05,-0.08131935287788891,-0.02825435346943707
"(('chr1', 18630000, 18640000), ('chr1', 200030000, 200040000))",0.047364301158392005,0.0158328445812828,-0.04975648715697113,-0.08333860632932534
"(('chr1', 18630000, 18640000), ('chr1', 213980000, 213990000))",0.052590147609073566,0.02564301964409081,-0.0511939895740231,-0.05259704939449253
"(('chr1', 18630000, 18640000), ('chr1', 220880000, 220890000))",0.05208754255100497,-0.02053692291637543,-0.005539781200544374,-0.051643366090312434
"(('chr1', 18630000, 18640000), ('chr1', 229490000, 229500000))",0.036557441440907626,0.02064932490583544,-0.021493369169155015,0.07668454311853516
"(('chr1', 24930000, 24940000), ('chr1', 44410000, 44420000))",0.027481497773019146,-0.01271108327977108,0.0068801274610764815,-0.016926854855566994
"(('chr1', 24930000, 24940000), ('chr1', 46480000, 46490000))",0.016989636027054653,-0.004218050526518478,-0.015196763615304025,0.011483834619931134
"(('chr1', 24930000, 24940000), ('chr1', 47180000, 47250000))",0.02910748246694533,0.0017637393918381273,-0.0002105636898126057,0.019419219678032167
"(('chr1', 24930000, 24940000), ('chr1', 47430000, 47440000))",0.02449326950285536,-0.016370592164239993,0.007440853666051868,0.05433246506261981
"(('chr1', 24930000, 24940000), ('chr1', 50415000, 50430000))",0.036777114844083775,-0.010519506044184555,-0.0018185307233705738,0.028683828362784464
"(('chr1', 24930000, 24940000), ('chr1', 63320000, 63330000))",0.038239872520170186,-0.012939507414143596,-0.013452273106319473,-0.02331227265495093
"(('chr1', 24930000, 24940000), ('chr1', 75120000, 75140000))",0.03713611315193042,0.003209329636067512,0.0026101088850323034,0.028974803508440655
"(('chr1', 24930000, 24940000), ('chr1', 90710000, 90735000))",0.0316044427610179,0.012153442472715357,0.004712329413956585,0.023440508064056415
"(('chr1', 24930000, 24940000), ('chr1', 92460000, 92500000))",0.03953161526022635,-0.04056272355722816,0.05645044134455585,-0.011531901701791776
"(('chr1', 24930000, 24940000), ('chr1', 118970000, 119010000))",0.02601833081762708,-0.014445860482133163,0.0025973987065283054,-0.0553398929126894
"(('chr1', 24930000, 24940000), ('chr1', 165350000, 165360000))",0.02319486585119198,0.006837567278372426,-0.013268941595421803,0.02312317794535693
"(('chr1', 24930000, 24940000), ('chr1', 180230000, 180240000))",0.038223712233823315,0.003541073434162711,0.02719394501962828,0.03263954202289877
"(('chr1', 24930000, 24940000), ('chr1', 200030000, 200040000))",0.04449459206626173,0.006624627051039403,0.02364509294722202,0.034244838172964
"(('chr1', 24930000, 24940000), ('chr1', 220880000, 220890000))",0.04881314210824316,-0.04730601371203318,-0.10182419197963632,-0.0878275294524009
"(('chr1', 44410000, 44420000), ('chr1', 47430000, 47440000))",0.02474707600460949,0.006106440236764909,0.005163404659523503,-0.0064464801690094515
"(('chr1', 44410000, 44420000), ('chr1', 47710000, 47720000))",0.014535318516995811,-0.004966263138701504,0.039526463071134256,0.01569095536662698
"(('chr1', 44410000, 44420000), ('chr1', 50415000, 50430000))",0.029976353544014765,0.0059942101557299106,-0.006501243997865549,-0.001614399427790872
"(('chr1', 44410000, 44420000), ('chr1', 63320000, 63330000))",0.016797481457637944,0.020981261454641846,0.016588006247685035,-0.005259642762340988
"(('chr1', 44410000, 44420000), ('chr1', 75120000, 75140000))",0.03176375039093119,0.01771648384283484,0.0032887041845199054,-0.024408303311092467
"(('chr1', 44410000, 44420000), ('chr1', 90710000, 90735000))",0.033321907392468555,0.0011188541182114678,0.010066936604927228,-0.015234248704667474
"(('chr1', 44410000, 44420000), ('chr1', 92460000, 92500000))",0.027314037976137177,-0.0060421088238158845,0.0063993831099757965,0.0024086338508123996
"(('chr1', 44410000, 44420000), ('chr1', 118180000, 118190000))",0.01763129178100738,0.009338846114122943,-0.057171224837160604,-0.08468335208784081
"(('chr1', 44410000, 44420000), ('chr1', 118970000, 119010000))",0.028520288979615453,0.006814782639346816,0.002003947402052529,-0.001324358038414183
"(('chr1', 44410000, 44420000), ('chr1', 165350000, 165360000))",0.015587875915695788,-0.0319016900177371,-0.03088088061209531,-0.08593658760067438
"(('chr1', 44410000, 44420000), ('chr1', 180230000, 180240000))",0.03597913715902065,0.041346581088757266,-0.031353356449624566,-0.02542268761131352
"(('chr1', 44410000, 44420000), ('chr1', 197910000, 197920000))",0.04154061306579879,-0.014886483799096151,0.009228558313006379,0.016507356434240433
"(('chr1', 44410000, 44420000), ('chr1', 200030000, 200040000))",0.0036987630843338015,0.06381508222697621,0.019433073164671494,-0.03585420087893992
"(('chr1', 44410000, 44420000), ('chr1', 213980000, 213990000))",0.059886450219622814,-0.03912571946360416,0.0020316129407039365,0.05503850428626468
"(('chr1', 44410000, 44420000), ('chr1', 220880000, 220890000))",0.0070977043294875065,-0.040351318130485175,0.1319724947463405,-0.08017119574151041
